COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,EC No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
9255100%,RHUS VERNICIFLUA PEEL WAX,,, , ,"Rhus Verniciflua Peel Wax is a wax obtained from the peel of the fruit of  Rhus verniciflua, Anacardiaceae . ",,NOT REPORTED,4233200%
9003600%,RHYNCHOSIA NULUBILIS SEED EXTRACT,,, , ,"Rhynchosia Nulubilis Seed Extract is the extract of the seeds of Rhynchosia nulubilis, Fabaceae. ",,"ANTIOXIDANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4171100%
5915400%,RHYOLITE EXTRACT,,, , ,"Rhyolite Extract is an extract of the volcanic rock, rhyolite",,SKIN CONDITIONING,4046600%
8682100%,RHYOLITE POWDER,,, -, -,"Rhyolite Powder is the powder obtained from the volcanic rock, rhyolite",,UV ABSORBER,4046600%
5915500%,RIBES GROSSULARIA FRUIT EXTRACT,,, , ,"Ribes Grossularia Fruit Extract is an extract of the fruit of the Gooseberry, Ribes grossularia L., Saxifragaceae",,MOISTURISING,4046600%
5915600%,RIBES GROSSULARIA FRUIT JUICE,,, , ,"Ribes Grossularia Fruit Juice is the juice expressed from the fruit of the Gooseberry, Ribes grossularia L., Saxifragaceae",,SKIN CONDITIONING,4046600%
9622100%,RIBES NIGRUM,,, 68606-81-5, ,"Ribes Nigrum is a plant material derived from the whole plant Ribes nigrum, Grossulariaceae.",,"HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4325900%
5915700%,RIBES NIGRUM BUD CERA,,, 68606-81-5, 271-749-0,"Ribes Nigrum Bud Cera is a wax obtained from the bud of Black Currant, Ribes nigrum L., Saxifragaceae",,SKIN PROTECTING,4046600%
4096300%,RIBES NIGRUM BUD EXTRACT,,, 68606-81-5, 271-749-0,"Ribes Nigrum Bud Extract ia an extract obtained from the buds of the Black Currant, Ribes nigrum L., Saxifragaceae",,"PERFUMING, SKIN CONDITIONING",4046600%
4096400%,RIBES NIGRUM BUD OIL,,, 68606-81-5, 271-749-0,"Ribes Nigrum Bud Oil is an essential oil obtained by molecular distillation of the extract of from the buds of the Black Currant, Ribes nigrum L., Saxifragaceae",,PERFUMING,4060400%
9257700%,RIBES NIGRUM BUD WAX,,, , ,"Black Currant Wax,Ribes Nigrum (Black Currant) Wax,Ribes Nigrum Wax",,NOT REPORTED,4233200%
9176700%,RIBES NIGRUM CALLUS EXTRACT,,, , ,"Ribes Nigrum (Black Currant) Callus Extract is the extract of the callus of Ribes nigrum grown in culture, Grossulariaceae.",,"ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING",4196100%
9153100%,RIBES NIGRUM CALLUS POWDER,,, , ,"Ribes Nigrum (Black Currant) Callus Powder is the powder obtained from the dried, ground callus of Ribes nigrum , grown in culture, 
Grossulariaceae",,SKIN CONDITIONING,4196100%
5915800%,RIBES NIGRUM FRUIT,,, 68606-81-5, 271-749-0,"Ribes Nigrum Fruit is the fruit of the Black Currant, Ribes nigrum L., Saxifragaceae",,"ASTRINGENT, SKIN CONDITIONING",4046600%
4096500%,RIBES NIGRUM FRUIT EXTRACT,,, 68606-81-5, 271-749-0,"Ribes Nigrum Fruit Extract is an extract obtained from the fruits of the Black Currant, Ribes nigrum L., Saxifragaceae",,"ASTRINGENT, PERFUMING, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4046600%
4096600%,RIBES NIGRUM FRUIT OIL,,, 68606-81-5, 271-749-0,"Ribes nigrum Fruit Oil is an essential oil obtained from the seed of the fruits of the Black Currant, Ribes nigrum L., Saxifragaceae., after pressing of the juice",,PERFUMING,4060400%
9054000%,RIBES NIGRUM FRUIT WATER,,, , ,"Ribes Nigrum Fruit Water is the aqueous solution of the steam distillates obtained from the fruit of Ribes nigrum, Grossuliriaceae.",,"FRAGRANCE, SKIN CONDITIONING",4158200%
5915900%,RIBES NIGRUM JUICE,,, 68606-81-5, 271-749-0,"Ribes Nigrum Juice is the liquid expressed from the Black Currant, Ribes nigrum L., Saxifragaceae",,SKIN CONDITIONING,4046600%
5916000%,RIBES NIGRUM LEAF,,, 68606-81-5, 271-749-0,"Ribes Nigrum Leaf is the leaves of Black Currant, Ribes nigrum L., Saxifragaceae",,SKIN CONDITIONING,4046600%
4096700%,RIBES NIGRUM LEAF EXTRACT,,, 68606-81-5, 271-749-0,"Ribes Nigrum Leaf Extract is an extract obtained from the leaves of the Black Currant, Ribes nigrum L., Saxifragaceae",,"PERFUMING, SKIN CONDITIONING",4046600%
4096800%,RIBES NIGRUM LEAF OIL,,, 68606-81-5, 271-749-0,"Ribes Nigrum Leaf Oil is an essential oil obtained from the leaves of the Black Currant, Ribes nigrum L., Saxifragaceae",,PERFUMING,4060400%
8484300%,RIBES NIGRUM LEAF WATER,,, 68606-81-5 , 271-749-0,"Ribes Nigrum Leaf Water is an aqueous solution of the steam distillates obtained from the leaves of the Black Currant, Ribes nigrum L., Saxifragaceae ",,SKIN CONDITIONING,4046600%
5916100%,RIBES NIGRUM SEED EXTRACT,,, 68606-81-5, 271-749-0,"Ribes Nigrum Seed Extract is an extract of the seeds of Black Currant, Ribes nigrum L., Saxifragaceae",,"HUMECTANT, SKIN CONDITIONING - EMOLLIENT",4046600%
5916200%,RIBES NIGRUM SEED OIL,,, 68606-81-5 / 97676-19-2, 271-749-0 / -,"Ribes Nigrum Seed Oil is the fixed oil obtained from the seeds of Black Currant, Ribes nigrum L., Saxifragaceae",,SKIN CONDITIONING - EMOLLIENT,4046600%
9053900%,RIBES RUBRUM (CURRANT) FRUIT WATER,,, , ,"Ribes Rubrum (Currant) Fruit Water is the aqueous solution of the steam distillates obtained from the fruit of Ribes rubrum, Grossulariacea.",,SKIN CONDITIONING,4157500%
9176600%,RIBES RUBRUM CALLUS EXTRACT,,, , ,"Ribes Rubrum (Currant) Callus Extract is the extract of the callus of Ribes rubrum grown in culture, Grossulariaceae.",,"ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING",4196100%
9155600%,RIBES RUBRUM CALLUS POWDER,,, , ,"Ribes Rubrum (Currant) Callus Powder is the powder obtained from the dried, ground callus of  Ribes rubrum, grown in culture. ",,"ANTIOXIDANT, SKIN PROTECTING",4268900%
5924300%,RIBES RUBRUM FRUIT,,, 84650-22-6, 283-502-4,"Ribes Rubrum Fruit is the fruit of the Red Currant, Ribes rubrum L., Saxifragaceae",,ASTRINGENT,4046600%
5924400%,RIBES RUBRUM FRUIT EXTRACT,,, 84650-22-6, 283-502-4,"Ribes Rubrum Fruit Extract is an extract of the berries of Red Currant, Ribes rubrum L., Saxifragaceae",,TONIC,4046600%
9127500%,RIBES RUBRUM FRUIT WATER,,, , ,"Ribes Rubrum (Currant) Fruit Water is the aqueous solution of the steam distillates obtained from the fruit of Ribes rubrum, Grossulariaceae. ",,SKIN CONDITIONING,4196100%
5924500%,RIBES RUBRUM JUICE,,, 84650-22-6, 283-502-4,"Ribes Rubrum Juice is the juice expressed from the berries of Red Currant, Ribes rubrum L., Saxifragaceae",,SKIN CONDITIONING,4046600%
8478300%,RIBES RUBRUM SEED OIL,,, 84650-22-6 , 283-502-4 ,"Ribes Rubrum Seed Oil is thevolatile oil obtained by steam destillation of the Red Currant, Ribes rubrum L., Saxifragaceae ",,SKIN CONDITIONING,4046600%
5924600%,RIBES UVA-CRISPA FRUIT EXTRACT,,, , ,"Ribes Uva-Crispa Fruit Extract is an extract of the fruit of Gooseberry, Ribes uva-crispa L. (syn R. grossularia L.), Saxifragaceae",,SKIN CONDITIONING - EMOLLIENT,4046600%
3749800%,RIBOFLAVIN,riboflavin,riboflavinum, 83-88-5, 201-507-1,Riboflavin,IV/145,"COLORANT, SKIN CONDITIONING - MISCELLANEOUS",4405500%
3749900%,RIBOFLAVIN TETRAACETATE,,, 752-13-6, 212-032-4,"Riboflavin, 2',3',4',5'-tetraacetate",,SKIN CONDITIONING,4046600%
8658600%,RIBOFLAVIN TETRABUTYRATE,,, 752-56-7, 212-034-5,"Riboflavin, 2',3',4',5'-tetrabutanoate",,SKIN CONDITIONING,4046600%
5924700%,RIBONIC ACID,,, 17812-24-7, ,"2,3,4,5-Tetrahydroxypentanoic acid",,"BUFFERING, CHELATING",4046600%
7964900%,RIBONOLACTONE,,, 5336-08-3, 226-256-5,"D-Ribono-1,4-lactone",,HUMECTANT,4046600%
8300000%,RIBOSE,,, 50-69-1, 200-059-4,D-ribose,,"HUMECTANT, SKIN CONDITIONING",4046600%
5924800%,RICE AMINO ACIDS,,, -, -,"Rice Amino Acids is the mixture of amino acids derived from the complete hydrolysis of rice protein
",,"HAIR CONDITIONING, SKIN CONDITIONING",4046600%
7965000%,RICE BRAN ACID,,, 93165-33-4, 296-918-6,"Fatty acids, rice bran oil",,"CLEANSING, SURFACTANT - CLEANSING",4046600%
9746900%,RICE BRAN OIL DIMETHYLAMINOETHYL ESTERS LACTATE,,, , ,Rice Bran Oil Dimethylaminoethyl Esters Lactate is the product obtained by the transesterification of Oryza Sativa Bran Oil and Dimethyl MEA and subsequent reaction with Lactic Acid.,,"SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING",4376200%
9101400%,RICE BRAN OIL POLYGLYCERYL-3 ESTERS,,, , ,Rice Bran Oil Polyglyceryl-3 Esters is the product obtained by the transesterification of Oryza Sativa (Rice) Bran Oil and Polyglycerin-3.,,"SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING",4171100%
8861400%,RICE BRAN OIL/HYDROGENATED RICE BRAN OIL ESTERS ,,, -, -,Rice Bran Oil/Hydrogenated Rice Bran Oil Esters is the product obtained by the transesterification of Oryza Sativa (Rice) Bran Oil with Hydrogenated Rice Bran Oil.,,SKIN PROTECTING,4178600%
9577200%,RICE BRAN WAX ETHYL ESTERS,,, , ,Rice Bran Wax Ethyl Esters is the product obtained by the transesterification of Oryza Sativa (Poaceae) Bran Wax and ethyl alcohol.,,"ANTIOXIDANT, HAIR CONDITIONING",4320800%
8914700%,RICE BRAN/GERM TRITERPENOIDS,,, , ,Rice Bran/Germ Triterpenoids is the mixture of triterpenoid compounds isolated from rice bran and rice germ,,SKIN CONDITIONING,4123400%
9877400%,RICE DECAPEPTIDE-1 DIPEPTIDE-56 AMIDE SP,,, , ,Rice Decapeptide-1 Dipeptide-56 Amide SP,,SKIN CONDITIONING - MISCELLANEOUS,4411600%
9878600%,RICE DECAPEPTIDE-1 SP,,, , ,"is a single chain peptide containing 10 amino acids consisting of arginine and leucine. It is synthetically produced based on a sequence from Os01g0227900 Protein which is found in Oryza sativa. The parent protein contains a maximum of 256 amino acids which may contain disulfide bonds and/or glycosylation, and consists of the proper sequence of the 20 standard amino acids. (Rice Decapeptide-1 SP is included in the INCI database as a reference for the definition of other INCI Names, and might not be a marketed cosmetic ingredient).",,NOT REPORTED,4411600%
5924900%,RICE FERMENT FILTRATE,,, , ,Rice Ferment Filtrate (sake) is a filtrate of the product obtained by the fermentation of Oryza sativa,,SKIN CONDITIONING,4046600%
9432000%,RICE FERMENT FILTRATE/PERSICARIA TINCTORIA LEAF FERMENT FILTRATE,,, , ,Rice Ferment Filtrate (Sake)/Persicaria Tinctoria Leaf Ferment Filtrate is a filtrate of the product obtained by the spontaneous fermentation of the leaves of  Persicaria tinctoria  and Rice Ferment Filtrate (Sake) .,,SKIN CONDITIONING,4325900%
8748500%,RICE FERMENT LEES,,, -, -,"Rice Ferment Lees is the lees obtained by the fermentation of the Rice, Oryza sativa L., Poaceae ",,"HUMECTANT, SKIN CONDITIONING",4123600%
8812700%,RICE HULL VINEGAR,,, , ,"Rice Hull Vinegar is the distilled, condensed smoke obtained from the dried, carbonized husks of Oryza sativa (rice).",,SKIN CONDITIONING,4178600%
8311700%,RICE OIL DIGLYCERYL ESTERS,,, -, -,Rice Oil Diglyceryl Esters is the product obtained by the transesterification of Oryza Sativa (Rice) Oil with Diglycerin,,"SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING",4046600%
5925000%,RICE OIL GLYCERETH-8 ESTERS,,, , ,Rice Oil Glycereth-8 Esters is the product obtained by the transesterification of glycereth-8 with Oryza sativa (rice) oil,,"CLEANSING, SURFACTANT - CLEANSING",4046600%
9710100%,RICE OLIGOPEPTIDE-91 SH-POLYPEPTIDE-1,,, , ,Rice Oligopeptide-91 sh-Polypeptide-1 is a fusion peptide of Oligopeptide-91 and sh-Polypeptide-1 produced by rice plants after using either a transient expression system or transgenesis (stable insertion of a copy of a human gene into its DNA). The fusion peptide contains 167 amino acids and may contain disulfide bonds and/or glycosylation. The protein consists of the proper sequence of the 20 standard amino acids.,,"HUMECTANT, SKIN CONDITIONING",4358100%
9710200%,RICE OLIGOPEPTIDE-91 SH-POLYPEPTIDE-9,,, , ,Rice Oligopeptide-91 sh-Polypeptide-9 is a fusion peptide of Oligopeptide-91 and sh-Polypeptide-9 produced by rice plants after using either a transient expression system or transgenesis (stable insertion of a copy of a human gene into its DNA). The fusion peptide contains 186 amino acids and may contain disulfide bonds and/or glycosylation. The protein consists of the proper sequence of the 20 standard amino acids.,,"HUMECTANT, SKIN CONDITIONING",4358100%
9430000%,RICE RH-OLIGOPEPTIDE-2,,, , ,Transgenic Rice rh-Oligopeptide-2,II/416,SKIN CONDITIONING,4260700%
9385300%,RICE RH-POLYPEPTIDE-45,,, , ,Transgenic Rice rh-Polypeptide-45,II/416 ,"SKIN CONDITIONING, SKIN PROTECTING",4245100%
9387200%,RICE SH-OLIGOPEPTIDE-1,,, , ,Transgenic Rice sh-Oligopeptide-1,,SKIN CONDITIONING,4322000%
9416500%,RICE SH-OLIGOPEPTIDE-2,,, , ,"Rice sh-Oligopeptide-2 is a single chain recombinant human peptide, produced by transgenic rice, Oryza sativa , after transient expression or stable insertion of a copy of a human gene into its DNA.",,"HUMECTANT, OPACIFYING, SKIN CONDITIONING",4254200%
9416400%,RICE SH-POLYPEPTIDE-1,,, , ,"Rice sh-Polypeptide-1 is a single chain recombinant human peptide, produced by transgenic rice, Oryza sativa , after the transient expression or stable insertion of a copy of a human gene into its DNA. ",,"HUMECTANT, OPACIFYING, SKIN CONDITIONING",4254200%
9416300%,RICE SH-POLYPEPTIDE-3,,, , ,"Rice sh-Polypeptide-3 is a single chain recombinant human peptide, produced by transgenic rice, Oryza sativa, after the transient expression or stable insertion of a copy of a human gene into its DNA.",,"HUMECTANT, OPACIFYING, SKIN CONDITIONING",4254200%
9432100%,RICE SH-POLYPEPTIDE-9,,, , ,"Rice sh-Polypeptide-9 is a single chain recombinant human peptide, produced by rice,  Oryza sativa  , after using either a transient expression system or transgenesis (stable insertion of a copy of a human gene into its DNA). The starting gene is synthesized to be identical to the human gene which codes for Vascular Endothelial Growth Factor A. It contains a maximum of 412 amino acids, which may contain disulfide bonds and/or glycosylation. The protein consists of the proper sequence of the 20 standard amino acids. ",,SKIN CONDITIONING,4260700%
9450200%,RICE SH-POLYPEPTIDE-9 DIMER,,, , ,Rice sh-Polypeptide-9 Dimer is a disulfide linked homodimer of Rice sh-Polypeptide-9 .,,"HUMECTANT, SKIN CONDITIONING",4260700%
5925100%,RICEBRANAMIDE DEA,,, , ,"Amides, rice bran oil, N,N-bis-(2-hydroxyethyl)-",III/60,"SURFACTANT - FOAM BOOSTING, VISCOSITY CONTROLLING",4046600%
5925200%,RICEBRANAMIDOPROPYL HYDROXYETHYL DIMONIUM CHLORIDE,,, , ,"N-(N'-Rice bran oil fatty acids amide propyl)-N-(2-hydroxyethyl)-N,N-dimethyl ammonium chloride",,"ANTISTATIC, HAIR CONDITIONING",4046600%
5925300%,RICINODENDRON RAUTENENII SEED OIL,,, , ,Ricinodendron Rautenenii Seed Oil is the oil expressed from the seeds of Ricinodendron Rautenenii,,SKIN CONDITIONING,4046600%
3750200%,RICINOLEAMIDE DEA,,, 40716-42-5, 255-051-3,"[R-(Z)]-12-Hydroxy-N,N-bis(2-hydroxyethyl)-9-octadecenamide",III/60,"ANTISTATIC, SURFACTANT - CLEANSING, SURFACTANT - FOAM BOOSTING, VISCOSITY CONTROLLING",4046600%
7965200%,RICINOLEAMIDE MEA,,, 106-16-1 / 75033-33-9, 203-368-2 / -,(R)-12-Hydroxy-N-(2-hydroxyethyl)oleamide,,"ANTISTATIC, SURFACTANT - CLEANSING, SURFACTANT - FOAM BOOSTING, VISCOSITY CONTROLLING",4046600%
7965300%,RICINOLEAMIDE MIPA,,, 40986-29-6, -,"9-Octadecenamide, 12-hydroxy-N-(2-hydroxy-1-methylethyl)-",,"ANTISTATIC, SURFACTANT - CLEANSING, SURFACTANT - FOAM BOOSTING, VISCOSITY CONTROLLING",4046600%
7965400%,RICINOLEAMIDOPROPYL BETAINE,,, 86089-12-5 / 71850-81-2, 289-181-7 / -,"1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-castor-oil acyl derivs., hydroxides, inner salts",,"ANTISTATIC, CLEANSING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT - CLEANSING, SURFACTANT - FOAM BOOSTING, VISCOSITY CONTROLLING",4046600%
3750600%,RICINOLEAMIDOPROPYL DIMETHYLAMINE,,, 20457-75-4, 243-835-8,[R-(Z)]-N-[3-(Dimethylamino)propyl]-12-hydroxy-9-octadecenamide,,"ANTISTATIC, HAIR CONDITIONING",4046600%
3750700%,RICINOLEAMIDOPROPYL DIMETHYLAMINE LACTATE,,, 118608-59-6, ,"Propanoic acid, 2-hydroxy-, compd. with [r-(Z)]-N-[3-(dimethylamino)propyl]-12-hydroxy-9-octadecenamide (1:1)",,"ANTISTATIC, HAIR CONDITIONING",4046600%
7965700%,RICINOLEAMIDOPROPYL ETHYLDIMONIUM ETHOSULFATE,,, 112324-16-0, -,"1-Propanaminium, N-ethyl-N,N-dimethyl-3-[(12-hydroxy-1-oxo-9-octadecenyl)amino]-, ethyl sulfate (1:1) (salt)",,"ANTISTATIC, HAIR CONDITIONING",4046600%
7965800%,RICINOLEAMIDOPROPYLTRIMONIUM CHLORIDE,,, 127311-98-2, ,"1-Propanaminium, N,N,N-trimethyl-3-[(12-hydroxy-1-oxo-9-octadecenyl)amino]-, chloride",,"ANTISTATIC, HAIR CONDITIONING",4046600%
3751000%,RICINOLEAMIDOPROPYLTRIMONIUM METHOSULFATE,,, 85508-38-9, 287-462-9,[R-(Z)]-3-[(12-Hydroxy-1-oxo-9-octadecenyl)amino]propyltrimethylammonium methyl sulphate,,"ANTIMICROBIAL, ANTISTATIC, HAIR CONDITIONING",4046600%
7966000%,RICINOLEIC ACID,,, 141-22-0 / 7431-95-0, 205-470-2 / -,"9-Octadecenoic acid, 12-hydroxy-, (9Z, 12R)-",,"CLEANSING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING",4046600%
3751200%,RICINOLEIC ACID/ADIPIC ACID/AEEA COPOLYMER,,, 221278-30-4, -,"Hexanedioic acid, polymer with 2-[(2-aminoethyl)amino]ethanol (CAS No 111-41-1) and (9Z, 12R)-12-hydroxy-9-octadecenoic acid",,VISCOSITY CONTROLLING,4046600%
5925400%,RICINOLEIC/CAPROIC/CAPRYLIC/CAPRIC TRIGLYCERIDE,,, -, - ,"Ricinoleic/Caproic/Caprylic/Capric Triglyceride is the mixed triester of glycerin with ricinoleic, caproic, caprylic and capric acids",,SKIN CONDITIONING,4056700%
5925500%,RICINOLEOYL EPOXY RESIN,,, -, -,"Ricinoleoyl Epoxy Resin is the ricinoleic acid ester of 4,4'-isopropylidenediphenol (CAS 80-02-7)/epichlorohydrin (CAs 106-89-8) copolymer",,FILM FORMING,4061100%
7966200%,RICINOLETH-40,,, -, -,"Poly(oxy-1,2-ethanediyl), .alpha.-(12-hydroxy-9-(Z)-octadecenyl-.omega.-hydroxy- (40 mol EO average molar ratio)",,"CLEANSING, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING",4056700%
8330800%,RICINUS COMMUNIS ROOT EXTRACT,,, 8001-79-4 , 232-293-8 ,"Ricinus Communis Root Extract is the extract of the roots of the Castor, Ricinus communis, Euphorbiaceae  ",,FRAGRANCE,4046600%
3751400%,RICINUS COMMUNIS SEED OIL,castor oil,ricini oleum, 8001-79-4, 232-293-8,"Ricinus Communis Seed Oil is the fixed oil obtained from the seeds of Castor, Ricinus communis, Euphorbiaceae ",,"FRAGRANCE, PERFUMING, SKIN CONDITIONING",4056700%
5925600%,RISSOELLA VERRUCULOSA EXTRACT,,, , ,"Rissoella Verruculosa Extract is an extract of the Alga, Rissoella verruculosa, Rissoellaceae",,SKIN PROTECTING,4046600%
3751500%,RNA,,, 63231-63-0, ,Ribonucleic acids,,SKIN CONDITIONING,4046600%
5925700%,ROBINIA PSEUDOACACIA FLOWER EXTRACT,,, 89957-93-7, 289-615-5,"Robinia Pseudoacacia Flower Extract is an extract of the flowers of the False Acacia, Robinia pseudoacacia, Leguminosae",,"SKIN CONDITIONING, TONIC",4046600%
8337100%,ROBINIA PSEUDOACACIA FLOWER WATER,,, 89957-93-7 , 289-615-5 ,"Robinia Pseudoacacia Flower Water is an aqueous solution of the steam distillates of the flowers of the False Acacia, Robinia pseudoacacia, Fabacea",,SKIN CONDITIONING,4046600%
8337200%,ROBINIA PSEUDOACACIA FLOWER/LEAF/STEM EXTRACT,,, 89957-93-7 , 289-615-5 ,"Robinia Pseudoacacia Flower/Leaf/Stem Extract is the extract of the flowers, leaves and stems of the False Acacia, Robinia pseudoacacia, Fabaceae",,SKIN CONDITIONING,4046600%
9603800%,ROBINIA PSEUDOACACIA WOOD EXTRACT,,, 89957-93-7, 289-615-5 (I),"Robinia Pseudoacacia Wood Extract is the extract of the wood of Robinia pseudoacacia, Fabaceae.",,SKIN CONDITIONING,4320800%
8738900%,RODGERSIA PODOPHYLLA ROOT EXTRACT,,, -, -,"Rodgersia Podophylla Root Extract is the extract of the roots of Rodgersia podophylla, Saxifragaceae
",,SKIN CONDITIONING,4046600%
5925800%,ROE EXTRACT,,, , ,Roe Extract is an extract of fish eggs,,"HAIR CONDITIONING, SKIN CONDITIONING",4046600%
5925900%,ROMNEYA COULTERI FLOWER EXTRACT,,, , ,"Romneya Coulteri Flower Extract is an extract of the flowers of Romneya coulteri, Papaveraceae",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, TONIC",4046600%
8950000%,ROSA ALBA CALLUS EXTRACT,,, , ,Rosa Alba Callus Extract is the extract of the callus of Rosa alba grown in culture,,SKIN PROTECTING,4133300%
9712000%,ROSA ALBA CALLUS FERMENT EXTRACT,,, , ,"Rosa Alba Callus Ferment Extract is the extract of the product obtained by the spontaneous fermentation of the callus of Rosa alba, Rosaceae.",,SKIN PROTECTING,4356000%
4096900%,ROSA ALBA FLOWER EXTRACT,,, 93334-48-6, 297-122-1,"Rosa Alba Flower Extract is an extract obtained from the flowers of the Rose, Rosa alba L., Rosaceae",,"PERFUMING, SKIN CONDITIONING - EMOLLIENT",4046600%
9868800%,ROSA ALBA FLOWER OIL,,, , ,Rosa Alba Flower Oil,,FRAGRANCE,4411200%
9119600%,ROSA ALBA FLOWER WATER,,, , ,Rosa Alba Flower Water is the aqueous solution of the steam distillates obtained from the flowers of Rosa alba. ,,FRAGRANCE,4196100%
8837500%,ROSA ALBA LEAF CELL EXTRACT,,, 93334-48-6 , 297-122-1 ,"Rosa Alba Leaf Cell Extract is the extract of a culture of the leaf cells of Rosa alba L., Rosaceae ",,"ANTIOXIDANT, SKIN PROTECTING",4178600%
9185100%,ROSA ALBA LEAF/STEM EXTRACT,,, , ,Rosa Alba Leaf/Stem Extract is the extract of the leaves and stems of Rosa alba. ,,"HUMECTANT, SKIN CONDITIONING",4196100%
9205400%,ROSA AMBASSADOR/ROSA PEACE PHYTOPLACENTA EXTRACT,,, , ,"Rosa Ambassador/Rosa Peace Phytoplacenta Extract is the extract of the phytoplacenta cells directly isolated from hybrid formed between Rosa ambassador and Rosa peace , or grown in culture. ",,"ANTIMICROBIAL, ANTIOXIDANT, HAIR CONDITIONING, HUMECTANT, SKIN PROTECTING",4196100%
8529300%,ROSA BORBONIANA FLOWER EXTRACT,,, 97660-07-6, 307-515-2,"Rosa Borboniana Flower Extract is the extract of the flowers of Rosa borboniana, Rosaceae",,SKIN CONDITIONING,4046600%
8439500%,ROSA BORBONIANA FLOWER WATER,,, 97660-07-6, 307-515-2,"Rosa Borboniana Flower Water is the aqueous solution of the steam distillate of the flowers of Rosa borboniana, Rosaceae",,"FRAGRANCE, PERFUMING, SKIN CONDITIONING",4046600%
9169000%,ROSA BRACTEATA EXTRACT,,, , ,Rosa Bracteata Extract is the extract of the whole plant of Rosa bracteata. ,,"HUMECTANT, SKIN CONDITIONING",4196100%
9046100%,ROSA CANINA BUD EXTRACT,,, , ,"Rosa Canina Bud Extract is the extract of the buds of Rosa canina, Rosaceae.",,SKIN CONDITIONING,4171100%
9443400%,ROSA CANINA CALLUS EXTRACT,,, 84696-47-9, ,"Rosa Canina Callus Extract is the extract of the callus of  Rosa canina  grown in culture, Rosaceae.",,SKIN PROTECTING,4261400%
9630900%,ROSA CANINA CALLUS LYSATE,,, , ,"Rosa Canina Callus Lysate are the lysed cells derived from the callus of Rosa canina, Rosaceae, grown in culture.",,"ANTIOXIDANT, COLORANT",4356000%
5926100%,ROSA CANINA FLOWER,,, 84696-47-9, 283-652-0,"Rosa Canina Flower is the petals of the flower of the Hip Rose, Rosa canina L., Rosaceae",,FRAGRANCE,4046600%
5926200%,ROSA CANINA FLOWER EXTRACT,,, 84696-47-9, 283-652-0,"Rosa Canina Flower Extract is an extract of the flowers of the Hip Rose, Rosa canina L., Rosaceae",,ASTRINGENT,4046600%
5926300%,ROSA CANINA FLOWER OIL,,, 84696-47-9, 283-652-0,"Rosa Canina Flower Oil is the volatile oil obtained from the flowers of the Hip Rose, Rosa canina L., Rosaceae",,"FRAGRANCE, SKIN CONDITIONING - EMOLLIENT",4046600%
8227400%,ROSA CANINA FLOWER POWDER,,, 84696-47-9 , 283-652-0 ,"Rosa Canina Flower Powder is the powder obtained from the flowers of the Hip Rose, Rosa canina L., Rosaceae ",,SKIN CONDITIONING,4046600%
5926400%,ROSA CANINA FRUIT,,, 84696-47-9, 283-652-0,"Rosa Canina Fruit is the fleshy fruit of the Hip Rose, Rosa canina L., Rosaceae",,ASTRINGENT,4046600%
7966500%,ROSA CANINA FRUIT EXTRACT,,, 84696-47-9, 283-652-0,"Rosa Canina Fruit Extract is an extract of the fruit of the Hip Rose, Rosa canina L., Rosaceae",,"ASTRINGENT, SKIN CONDITIONING, TONIC",4046600%
5926500%,ROSA CANINA FRUIT JUICE,,, 84696-47-9, 283-652-0,"Rosa Canina Fruit Juice is the liquid expressed from the hips of the Hip Rose, Rosa canina L., Rosaceae",,ASTRINGENT,4046600%
7966600%,ROSA CANINA FRUIT OIL,,, 84696-47-9 / 84603-93-0, 283-652-0 / -,"Rosa Canina Fruit Oil is an oil from the Hip Rose, Rosa canina L., Rosaceae",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4046600%
9369900%,ROSA CANINA FRUIT/FLOWER EXTRACT,,, , ,"Rosa Canina Fruit/(Rosa Centifolia/Rosa Damascena) Flower Extract is the extract of Rosa Canina Fruit , Rosa Centifolia Flower and Rosa Damascena Flower ",,"HUMECTANT, SKIN CONDITIONING",4233200%
7966700%,ROSA CANINA LEAF EXTRACT,,, 84696-47-9, 283-652-0,"Rosa Canina Leaf Extract is an extract of the leaves of the Hip Rose, Rosa canina L., Rosaceae",,SKIN CONDITIONING,4046600%
5926600%,ROSA CANINA SEED,,, 84696-47-9, 283-652-0,"Rosa Canina Seed is the seeds of the Hip Rose, Rosa canina L., Rosaceae",,"ABRASIVE, SKIN CONDITIONING",4046600%
